#Scan:    100            N1530 2021-09-20 +07 35 52.0
#          RADIO                  Ta    
#        km/s-BAR                 I
    2214.9285971775702819      0.0465354
    2217.9476715105242874      0.0395152
    2220.9667458434778382      0.0339639
    2223.9858201763986472      0.0306344
    2227.0048945093526527      0.0307636
    2230.0239688422730069      0.0469462
    2233.0430431752270124      0.0481718
    2236.0621175081141701      0.0430868
    2239.0811918410681756      0.0374280
    2242.1002661739889845      0.0328921
    2245.1193405069429900      0.0225414
    2248.1384148398633442      0.0426738
    2251.1574891728173498      0.0363017
    2254.1765635057045074      0.0413821
    2257.1956378386253164      0.0523410
    2260.2147121715793219      0.0583721
    2263.2337865045333274      0.0594821
    2266.2528608374536816      0.0562556
    2269.2719351704072324      0.0739123
    2272.2910095033280413      0.0787275
    2275.3100838362156537      0.0996798
    2278.3291581691696592      0.1189154
    2281.3482325020900134      0.1407679
    2284.3673068350435642      0.1728976
    2287.3863811679975697      0.2198943
    2290.4054555009183787      0.2596114
    2293.4245298338055363      0.2782798
    2296.4436041667595418      0.3034253
    2299.4626784996798960      0.3205770
    2302.4817528326339016      0.3396592
    2305.5008271655879071      0.3407091
    2308.5199014985087160      0.3402785
    2311.5389758314627215      0.3211510
    2314.5580501643498792      0.3040623
    2317.5771244972702334      0.2722970
    2320.5961988302242389      0.2540739
    2323.6152731631450479      0.2496455
    2326.6343474960990534      0.2398688
    2329.6534218290526042      0.2310820
    2332.6724961619729584      0.2144335
    2335.6915704948605708      0.2177266
    2338.7106448278141215      0.2115989
    2341.7297191607349305      0.2057099
    2344.7487934936889360      0.2073151
    2347.7678678266092902      0.2079081
    2350.7869421595632957      0.1894771
    2353.8060164924504534      0.1891318
    2356.8250908254044589      0.1941904
    2359.8441651583252678      0.1909124
    2362.8632394912792734      0.1900482
    2365.8823138241996276      0.1850085
    2368.9013881571536331      0.1724988
    2371.9204624901071838      0.1873410
    2374.9395368229947962      0.1972650
    2377.9586111559156052      0.1784097
    2380.9776854888696107      0.1751888
    2383.9967598217899649      0.1829058
    2387.0158341547435157      0.1811676
    2390.0349084876643246      0.1768405
    2393.0539828205519370      0.1599145
    2396.0730571535059426      0.1759268
    2399.0921314864594933      0.1650355
    2402.1112058193798475      0.1551446
    2405.1302801523338530      0.1604930
    2408.1493544852546620      0.1638877
    2411.1684288182086675      0.1643451
    2414.1875031510958252      0.1627303
    2417.2065774840498307      0.1652010
    2420.2256518169701849      0.1593495
    2423.2447261499241904      0.1578922
    2426.2638004828449994      0.1637174
    2429.2828748157990049      0.1633245
    2432.3019491487193591      0.1666881
    2435.3210234816065167      0.1587654
    2438.3400978145605222      0.1476569
    2441.3591721475140730      0.1514271
    2444.3782464804353367      0.1387143
    2447.3973208133888875      0.1309754
    2450.4163951463092417      0.1278831
    2453.4354694791973088      0.1166710
    2456.4545438121508596      0.1260596
    2459.4736181451048651      0.1288604
    2462.4926924780252193      0.1260733
    2465.5117668109792248      0.1300404
    2468.5308411439000338      0.1368961
    2471.5499154768540393      0.1392429
    2474.5689898097411970      0.1368517
    2477.5880641426615512      0.1422864
    2480.6071384756155567      0.1348749
    2483.6262128085695622      0.1391457
    2486.6452871414903711      0.1468846
    2489.6643614744443767      0.1517996
    2492.6834358073315343      0.1463506
    2495.7025101402518885      0.1372592
    2498.7215844732058940      0.1521958
    2501.7406588061267030      0.1713118
    2504.7597331390802537      0.1679154
    2507.7788074720342593      0.1721725
    2510.7978818049546135      0.1723077
    2513.8169561378422259      0.1570899
    2516.8360304707957766      0.1632620
    2519.8551048037165856      0.1738188
    2522.8741791366705911      0.1792087
    2525.8932534696245966      0.1663489
    2528.9123278025449508      0.1787856
    2531.9314021354989563      0.1952906
    2534.9504764683861140      0.2067168
    2537.9695508013069229      0.2151611
    2540.9886251342609285      0.2282158
    2544.0076994671812827      0.2254871
    2547.0267738001352882      0.2478037
    2550.0458481330888389      0.2539532
    2553.0649224659764513      0.2628025
    2556.0839967988972603      0.2999909
    2559.1030711318512658      0.3212860
    2562.1221454647716200      0.3279939
