# FILENAME=Skynet_59472_ngc1530_group2_62102_10937.A.onoff.cal.txt
# BASENAME=Skynet_59472_ngc1530_group2_62102_10937
# CONTROL=SKYNET
# PROJCODE=Skynet_59472_ngc1530_group2_62102
# DATAROOT=/raid/scratch/cyborg/SkynetData
# DATADIR=/raid/scratch/cyborg
# DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59472_ngc1530_group2_621
# SCANNAME=2019_06_26_10
# SRC_NAME=ngc1530_group2
# OBSERVER=sdss2_39397
# DATE_OBS=2021-09-15T02:50:54.390
# OBSID=62102
# SCANNUM=10937
# MJD=59472.1186851
# UTC=10254
# SCANTYPE=onoff
# DATAMODE=HIRES
# RECEIVER=Rx1_2
# OBSFREQ=1408.8000
# Actual_FREQ1=1653.8000,
# Actual_FREQ2=1403.8000
# LO1Tuning=6978.8000
# RFFILTER=1300_1800
# OBSBW=-15.6250
# EFFBANDW=15.6250
# NCHAN=1024
# STARTCHAN=51
# STOPCHAN=972
# TINT=0.3000
# TBIN=0.00419430
# ACCLEN=2048
# DURATION=407.40
# EXPOSURE=389.05
# FOCUS=37.071
# RA,DEC=04:24:30.26, 75:17:45.96
# RA(deg)=71.77380
# DEC(deg)=75.29558
# WIDTH(deg)=3.0183x0.0154
# AZIM(deg)=15.0871
# ELEV(deg)=31.1952
# COORDREF=RA_DEC_
# HREF=65.8629
# VREF=75.2956
# RADESYS=FK5
# OFFSYS=RADEC
# EQUINOX=2000.00
# IFATTENS=30.00, 14.00
# BALANCELEV=1.200
# POWER_XLYR=[8.48, 8.66]
# VELDEF=RADI-OBS
# VELOCITY=0.000
# NPOL=2
# POLMODE=Linear
# POLTYPE=XXYY
# WARNING=None
# NOISECAL=HI
# PRECAL=2
# POSTCAL=2
# CRYOTEMP=17
# BOXTEMP=26
# TSYS=XX1:91.82, YY1:73.65
# TSYS=XX2:105.94, YY2:135.75
# TCAL=XX1:9.42, YY1:11.79
# TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra: Tsys*(ON-OFF)/OFF
# 
# 
# Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2
col1 col2 col3
1407.44685 0.0263 -1.0633
1407.43159 0.048 -1.0001
1407.41633 -0.105 -1.1787
1407.40107 -0.2303 -1.1515
1407.38582 -0.166 -0.9979
1407.37056 -0.1221 -0.9824
1407.3553 0.0236 -1.0077
1407.34004 -0.1068 -0.9971
1407.32478 -0.1741 -0.9516
1407.30952 -0.0776 -1.0492
1407.29426 -0.0314 -1.082
1407.279 -0.087 -1.0003
1407.26375 -0.1326 -0.9747
1407.24849 -0.2227 -0.9498
1407.23323 -0.0695 -1.1921
1407.21797 -0.1213 -1.1675
1407.20271 -0.1663 -1.1632
1407.18745 -0.2304 -1.1854
1407.17219 -0.2018 -1.2509
1407.15693 -0.064 -1.0926
1407.14167 -0.0907 -1.075
1407.12642 -0.0643 -1.1763
1407.11116 -0.1845 -1.1448
1407.0959 -0.1844 -0.93
1407.08064 -0.1005 -1.3233
1407.06538 -0.1887 -1.2623
1407.05012 -0.1811 -1.105
1407.03486 -0.1996 -1.2633
1407.0196 -0.1648 -1.1233
1407.00435 -0.1622 -1.3119
1406.98909 -0.1455 -1.364
1406.97383 -0.1565 -1.1274
1406.95857 -0.068 -1.2257
1406.94331 -0.0924 -1.0929
1406.92805 -0.2377 -1.2209
1406.91279 -0.2935 -1.2759
1406.89753 -0.199 -1.1107
1406.88228 -0.1575 -1.0518
1406.86702 -0.0814 -1.0944
1406.85176 0.0739 -1.0875
1406.8365 -0.1826 -1.0439
1406.82124 -0.038 -1.2934
1406.80598 0.0283 -1.1331
1406.79072 -0.0573 -1.3305
1406.77546 0.0087 -1.1507
1406.76021 -0.0232 -1.2248
1406.74495 -0.1399 -1.1578
1406.72969 -0.1165 -1.0571
1406.71443 -0.0543 -1.2259
1406.69917 -0.1261 -1.3223
1406.68391 -0.1435 -1.0764
1406.66865 -0.1774 -1.2034
1406.65339 -0.124 -1.0883
1406.63813 -0.1307 -1.0722
1406.62288 -0.0475 -1.312
1406.60762 -0.2843 -1.1587
1406.59236 -0.1882 -1.3735
1406.5771 -0.1874 -1.0931
1406.56184 -0.1608 -1.1999
1406.54658 -0.1591 -1.083
1406.53132 -0.0437 -1.3022
